address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"6135 JUNCTION BLVD, KIOSK #01K02, New York, NY, 11374",,,,,,,,
"1073 LIBERTY AVE, New York, NY, 11208",Address,High,40.67853546142578,-73.86975860595703,house,place,40.6784263,-73.8696697
"4028 BROADWAY, New York, NY, 10032",Address,High,40.84202818572521,-73.93893644213676,house,place,40.8421723157895,-73.9391739473684
"1098 FOREST AVE, New York, NY, 10310",Address,High,40.62674331665039,-74.12622833251953,house,place,40.6268092,-74.1262423388399
"712 THIRD AVE, New York, NY, 10017",Address,High,40.752628326416016,-73.9734878540039,,,,
"12904 LIBERTY AVE, New York, NY, 11419",Address,High,40.68915939331055,-73.81591796875,tertiary,highway,40.673027,-73.9057559
"3 COLUMBUS CIRCLE, New York, NY, 10019",Address,High,40.76769210398197,-73.98227021098137,pharmacy,amenity,40.7667867,-73.9825327
"3664 BROADWAY, New York, NY, 10031",Address,High,40.83040751516819,-73.9473619312048,house,place,40.8303785,-73.9472433
"147 W 46TH ST, New York, NY, 10036",Address,High,40.75834274291992,-73.98391723632812,house,place,40.75834555,-73.9839084275187
"3617 GREENPOINT AVE, New York, NY, 11101",Address,High,40.73793411254883,-73.929443359375,house,place,40.7375444489796,-73.9296835918367
"371 WEST 34 STREET, New York, NY, 10001",Address,High,40.75316525995731,-73.99564705789089,,,,
"689 9TH AVE, New York, NY, 10036",Address,High,40.76199722290039,-73.99040985107422,secondary,highway,40.7565441,-73.9940454
"1183 BROADWAY, New York, NY, 11221",Address,High,40.69274139404297,-73.92721557617188,house,place,40.69273015,-73.927223175933
"358 E 2ND ST, New York, NY, 11218",Address,High,40.64249999821186,-73.9782589673996,house,place,40.64253755,-73.97833295
"744 E. TREMONT AVE, New York, NY, 10457",Address,High,40.844425201416016,-73.88968658447266,house,place,40.8444381,-73.8896785941217
"766 LYDIG AVENUE, New York, NY, 10462",Address,High,40.85440255701542,-73.86515021324158,house,place,40.854367,-73.8651464545455
"3109 BAINBRIDGE AVE, New York, NY, 10467",Address,High,40.87393507361412,-73.87933775782585,house,place,40.8740494,-73.8794866
"42-15 235 STREET, New York, NY, 11363",Address,High,40.768077,-73.748069,,,,
"3102 AVENUE U, New York, NY, 11229",Address,High,40.601402,-73.935058,house,place,40.6013923,-73.9350727478638
"17 TRINITY PL, New York, NY, 10006",Address,High,40.70684552192688,-74.01351191103458,house,place,40.7066601,-74.0135534
"509 WILLIS AVE, New York, NY, 10455",Address,High,40.814970061182976,-73.91869716346264,house,place,40.8152621,-73.9186083
"62 PEARL ST, New York, NY, 10004",Address,High,40.7035443931818,-74.011065736413,restaurant,amenity,40.7035137,-74.0109956
"3819 99 STREET, New York, NY, 11368",Address,High,40.750022888183594,-73.8665771484375,,,,
"9615D ROOSEVELT AVE, New York, NY, 11368",Address,High,40.7493896484375,-73.86880493164062,secondary,highway,40.7515785,-73.8558546
"319 CLAWSON STREET, New York, NY, 10306",Address,High,40.57175137102604,-74.11146350204945,house,place,40.5716941,-74.1116072
"2619 23RD AVE, New York, NY, 11105",Address,High,40.776283264160156,-73.91512298583984,tertiary,highway,40.7765242,-73.9159228
"635 VANDERBILT AVE, New York, NY, 11238",Address,High,40.67804718017578,-73.96841430664062,house,place,40.67804815,-73.9684494983773
"227 SMITH STREET, New York, NY, 11231",Address,High,40.683929,-73.992088,house,place,40.68393435,-73.99210335
"323 6TH AVE, New York, NY, 10014",Address,High,40.73122787475586,-74.00169372558594,house,place,40.7312243,-74.0016653050448
"30 MULBERRY STREET, New York, NY, 10013",Address,High,40.71453857421875,-73.99938201904297,house,place,40.7145337,-73.9995204
"17204 LINDEN BLVD, New York, NY, 11434",Address,High,40.69169998168945,-73.77787017822266,secondary,highway,40.693029,-73.7721189
"237 E 53RD ST, New York, NY, 10022",Address,High,40.757286071777344,-73.96782684326172,house,place,40.75727115,-73.9678489393866
"44 W 63RD ST, New York, NY, 10023",Address,High,40.77147200703621,-73.98247070610523,hotel,tourism,40.77133675,-73.9825999823654
"2550 FRANCIS LEWIS BLVD, New York, NY, 11358",Address,High,40.773250579833984,-73.79679107666016,primary,highway,40.7695958,-73.7923262
"48 CARMINE ST, New York, NY, 10014",Address,High,40.729812,-74.003417,house,place,40.72983005,-74.0034391668687
"95 E HOUSTON ST, New York, NY, 10002",Address,High,40.72346115112305,-73.99189758300781,house,place,40.7184489,-73.9778722
"625 8TH AVE, New York, NY, 10018",Address,High,40.75619548559189,-73.99060919880867,bus_station,amenity,40.75682315,-73.9918340694899
"69 WEST 23 STREET, New York, NY, 10010",Address,High,40.742862701416016,-73.99200439453125,,,,
"533 ATLANTIC AVE, New York, NY, 11217",Address,High,40.685249,-73.979774,house,place,40.68519695,-73.9798049871958
"1319 AVENUE J, New York, NY, 11230",Address,High,40.625297,-73.962577,house,place,40.62528225,-73.962576405398
"4923 18 AVE, New York, NY, 11204",Address,High,40.628087148070335,-73.98113563656807,,,,
"20110 CROSS ISLAND PARKWAY, New York, NY, 11360",RoadBlock,Medium,40.78927993774414,-73.78074645996094,motorway,highway,40.7887059,-73.7891461
"21312 48TH AVENUE, New York, NY, 11364",Address,High,40.75538635253906,-73.76742553710938,tertiary,highway,40.755746,-73.7661499
"145 1ST AVENUE, New York, NY, 10003",Address,High,40.728233,-73.985252,house,place,40.7281654,-73.9851113
"1471 THIRD AVE, New York, NY, 10028",Address,High,40.776901,-73.954986,,,,
"107 THOMPSON STREET, New York, NY, 10012",Address,High,40.72584915161133,-74.00213623046875,house,place,40.72584405,-74.0021221959816
"1274 1ST AVE, New York, NY, 10065",Address,High,40.765426,-73.957336,house,place,40.76543705,-73.9573842826711
"10022 67TH AVE, New York, NY, 11374",RoadBlock,Medium,40.72175979614258,-73.85710906982422,residential,highway,40.7253707,-73.854825
"770 BROADWAY, New York, NY, 10003",Address,High,40.73059844970703,-73.99150848388672,house,place,40.7308849,-73.9916384
"210 TENTH AVE, New York, NY, 10011",Address,High,40.747128278017044,-74.0045104175806,,,,
"170 JOHN STREET, New York, NY, 10038",Address,High,40.705909729003906,-74.00428009033203,house,place,40.70598,-74.0042609
"4551 46 STREET, New York, NY, 11377",Address,High,40.74148941040039,-73.91885375976562,,,,
"29 WAVERLY PL, New York, NY, 10003",Address,High,40.730472430586815,-73.9949630945921,cafe,amenity,40.7305879,-73.9950534
"127 W 72 ST, New York, NY, 10023",Address,High,40.778072357177734,-73.97960662841797,,,,
"131 ORCHARD ST, New York, NY, 10002",Address,High,40.71976089477539,-73.98965454101562,house,place,40.719721,-73.9895213
"3031 CONEY ISLAND AVENUE, New York, NY, 11235",Address,High,40.58237838745117,-73.9596176147461,house,place,40.5825606,-73.9596543722581
"NKA jfk internaional airport, New York, NY, 11430",,,,,,,,
"168 W 48 STREET, New York, NY, 10036",Address,High,40.75960390269756,-73.98373000323772,,,,
"281 E 161 ST, New York, NY, 10451",Address,High,40.82573318481445,-73.91764831542969,,,,
"200 E 60TH STREET, New York, NY, 10022",Address,High,40.762060806155205,-73.96596908569336,house,place,40.7619888,-73.9659221
"99 RIVINGTON ST, New York, NY, 10002",Address,High,40.72007283568382,-73.98849159479141,house,place,40.720046,-73.988545
"332 DRIGGS AVE, New York, NY, 11222",Address,High,40.721841752529144,-73.95051822066307,restaurant,amenity,40.7218799,-73.9505713
"8415 5TH AVE, New York, NY, 11209",Address,High,40.622276306152344,-74.02519226074219,house,place,40.62231275,-74.0252525342265
"3904 NORTHERN BLVD, New York, NY, 11101",Address,High,40.75214,-73.923957,primary,highway,40.7506651,-73.9350974
"211 EAST 43 STREET, New York, NY, 10017",Address,High,40.75132928788662,-73.9735758304596,,,,
"2298 BROADWAY, New York, NY, 10024",Address,High,40.78623823821545,-73.97800616919994,fast_food,amenity,40.7861966,-73.9778709
"791 EAST TREMONT AVENUE, New York, NY, 10460",Address,High,40.84402710199356,-73.88820916414261,house,place,40.8440072,-73.8880167
"101 KENT AVE, New York, NY, 11249",Address,High,40.720736011862755,-73.96116927266121,house,place,40.7207181,-73.9611056
"5723 8 AVE, New York, NY, 11220",Address,High,40.6365852355957,-74.00806427001953,,,,
"1178 FULTON STREET, New York, NY, 11216",Address,High,40.6805534362793,-73.95391082763672,house,place,40.680575,-73.9539031370322
"742 9TH AVE, New York, NY, 10019",Address,High,40.76345443725586,-73.98856353759766,house,place,40.7635177,-73.9886996
"458 WEST 145TH STREET, New York, NY, 10031",Address,High,40.824684143066406,-73.94703674316406,house,place,40.82472555,-73.9470029494529
"163 BLEECKER STREET, New York, NY, 10012",Address,High,40.72880935668945,-73.99993896484375,house,place,40.72879205,-73.9999513628801
"7706 21ST AVE, New York, NY, 11370",Address,Medium,40.60824818909168,-73.99094045162201,tertiary,highway,40.7704203,-73.8937504
"2770 ATLANTIC AVE, New York, NY, 11207",Address,High,40.6762133538723,-73.89190927147865,house,place,40.6761273,-73.8919866
"521 HICKS STREET, New York, NY, 11231",Address,High,40.68528747558594,-74.00037384033203,bar,amenity,40.6853209,-74.0004883
"2503 WILLIAMSBRIDGE RD, New York, NY, 10469",Address,High,40.86321026086807,-73.85820865631104,house,place,40.8631827647059,-73.8582540588235
"292 LEONARD ST, New York, NY, 11211",Address,High,40.714096,-73.947486,house,place,40.7140863,-73.9475614
"110 1ST AVE, New York, NY, 10009",Address,High,40.72663497924805,-73.98566436767578,house,place,40.7266377,-73.9856692320645
"1154 1ST AVENUE, New York, NY, 10065",Address,High,40.762187,-73.959732,house,place,40.76219745,-73.959753143559
"4312 BROADWAY, New York, NY, 10033",Address,High,40.85183501243591,-73.93483400344849,house,place,40.8518003,-73.9347002
"3555 JOHNSON AVENUE, New York, NY, 10463",Address,High,40.8861967921257,-73.9098659902811,house,place,40.8865332,-73.9098594
"1211 MYRTLE AVENUE, New York, NY, 11221",Address,High,40.697608947753906,-73.93165588378906,house,place,40.6975581,-73.9316525200567
"4020 149 PLACE, New York, NY, 11354",Address,High,40.762786865234375,-73.8153076171875,,,,
"942 UTICA AVENUE, New York, NY, 11203",Address,High,40.649898529052734,-73.9305419921875,house,place,40.6499006,-73.9305189645308
"4909 25TH AVE, New York, NY, 11377",Address,High,40.764583587646484,-73.90396881103516,residential,highway,40.7660368,-73.907601
"1005 MANHATTAN AVENUE, New York, NY, 11222",Address,High,40.733333587646484,-73.95504760742188,house,place,40.7333286,-73.9550407
"240 W 231 ST, New York, NY, 10463",Address,High,40.87959051132202,-73.90623897314072,,,,
"2376 ARTHUR AVENUE, New York, NY, 10458",Address,High,40.85478973388672,-73.88785552978516,house,place,40.85484355,-73.8879073757338
"8812 ROOSEVELT AVENUE, New York, NY, 11372",Address,High,40.74799346923828,-73.87812805175781,secondary,highway,40.746686,-73.8929591
"177 MADISON AVE, New York, NY, 10016",Address,High,40.74732208251953,-73.98292541503906,house,place,40.7473168,-73.9829163956257
"117 E 60TH ST, New York, NY, 10022",Address,High,40.763404846191406,-73.96844482421875,house,place,40.7633636,-73.9684802030841
"603 SUTTER AVE, New York, NY, 11207",Address,High,40.669349670410156,-73.89666748046875,house,place,40.66934965,-73.89666595
"1514 NEWKIRK AVE, New York, NY, 11226",Address,High,40.635573863983154,-73.96310448646545,house,place,40.6357514,-73.9625987
"61 WARREN ST, New York, NY, 10007",Address,High,40.71479760110378,-74.00948792695999,restaurant,amenity,40.7147836,-74.0095831
"13621 37TH AVE, New York, NY, 11354",Address,High,40.761924743652344,-73.83037567138672,residential,highway,40.760855,-73.8329929
"1117 ROGERS AV, New York, NY, 11226",Address,High,40.64259338378906,-73.9512710571289,house,place,40.64258645,-73.9513672691259
"3217 QUENTIN RD, New York, NY, 11234",Address,High,40.613250732421875,-73.939453125,house,place,40.6132089,-73.9394118301666
"10708 ROCKAWAY BLVD, New York, NY, 11417",RoadBlock,Medium,40.679481506347656,-73.83638763427734,primary,highway,40.6805967,-73.8440349
"58 WEST 36 STREET, New York, NY, 10018",Address,High,40.75045394897461,-73.98594665527344,,,,
"1125 CHURCH AVE, New York, NY, 11218",Address,High,40.64749526977539,-73.96859741210938,house,place,40.6473998,-73.9685894
"10756 SUTPHIN BLVD, New York, NY, 11435",Address,High,40.693084716796875,-73.79988098144531,secondary,highway,40.7011895,-73.8078558
"8 MURRAY ST, New York, NY, 10007",Address,High,40.71321241557598,-74.00766603648663,house,place,40.7131716,-74.0076858
"245 E 124TH ST, New York, NY, 10035",Address,High,40.80249786376953,-73.9344711303711,house,place,40.8030168282403,-73.9360694931507
"1008 CORTELYOU ROAD, New York, NY, 11218",Address,High,40.6391487121582,-73.96839904785156,house,place,40.6392004,-73.9684005610696
"790 7TH AVE, New York, NY, 10019",Address,High,40.76186165213585,-73.98277312517166,house,place,40.7621059,-73.9827546
"760 CONEY ISLAND AVENUE, New York, NY, 11218",Address,High,40.63884353637695,-73.96905517578125,restaurant,amenity,40.6388609,-73.9688797
"341 E 9TH ST, New York, NY, 10003",Address,High,40.72862243652344,-73.98533630371094,house,place,40.7285603,-73.9853748959603
"7824 20TH AVE, New York, NY, 11214",Address,High,40.60894623398781,-73.99379834532738,house,place,40.60883165,-73.9941188064312
"14920 41ST AVENUE, New York, NY, 11355",Address,High,40.76203918457031,-73.81498718261719,residential,highway,40.7586982,-73.8288047
"6301 8TH AVENUE, New York, NY, 11220",Address,High,40.63335418701172,-74.01134490966797,supermarket,shop,40.633353,-74.0113478971025
"2278 ARTHUR AVENUE, New York, NY, 10457",Address,High,40.85239791870117,-73.88954162597656,house,place,40.8524672,-73.8896784181423
"160 PEARL ST, New York, NY, 10005",Address,High,40.70572280883789,-74.0074691772461,house,place,40.7057386,-74.0075086396706
"16908 CROCHERON AVE, New York, NY, 11358",Address,High,40.762550354003906,-73.79672241210938,tertiary,highway,40.762796,-73.7961069
"3594 JEROME AVE, New York, NY, 10467",Address,High,40.88504008948803,-73.87942157685757,house,place,40.8852586,-73.879097
"679 ALLERTON AVE, New York, NY, 10467",Address,High,40.86548075079918,-73.86811472475529,secondary,highway,40.8654402,-73.8673474
"587 FIRST AVENUE, New York, NY, 10016",Address,High,40.74356831610203,-73.97374145686626,,,,
"3840 29TH ST, New York, NY, 11101",Address,High,40.75374221801758,-73.93461608886719,residential,highway,40.7558973,-73.9325133
"1135 MYRTLE AVE, New York, NY, 11206",Address,High,40.69688379764557,-73.93640644848347,house,place,40.6970021,-73.936117
"11110 QUEENS BLVD, New York, NY, 11375",RoadBlock,Medium,40.720611572265625,-73.84185791015625,trunk,highway,40.7188695,-73.8376966
"234 STARR ST, New York, NY, 11237",Address,High,40.70555114746094,-73.9223403930664,house,place,40.70554785,-73.9223380561362
"209 E. 183RD STREET, New York, NY, 10458",Address,High,40.85732281208038,-73.8995186984539,house,place,40.8573515,-73.899433
"55 LEXINGTON AVE, New York, NY, 10010",Address,High,40.74056424200535,-73.98390971124172,secondary,highway,40.7756382,-73.9584017
"14 CHRISTOPHER ST, New York, NY, 10014",Address,High,40.73381805419922,-74.00041961669922,cafe,amenity,40.7338779,-74.0004371
"366 W 46TH ST, New York, NY, 10036",Address,High,40.760562896728516,-73.9903564453125,house,place,40.7605691,-73.9903479221781
"19421 NORTHERN BOULEVARD, New York, NY, 11358",RoadBlock,Medium,40.762611389160156,-73.80462646484375,primary,highway,40.762808,-73.7547389
"1780 AMSTERDAM AVENUE, New York, NY, 10031",Address,High,40.82729212939739,-73.94616633653641,house,place,40.8273398,-73.9462989
"516 EAST 6TH ST., New York, NY, 10009",Address,High,40.725226029753685,-73.98350335657597,house,place,40.72493165,-73.9831009328035
"14734B NORTHERN BLVD, New York, NY, 11354",Address,High,40.765079498291016,-73.81763458251953,primary,highway,40.7633488,-73.8298749
"196 EAST 161ST STREET, New York, NY, 10451",Address,High,40.826337933540344,-73.92132170498371,house,place,40.8263872777778,-73.9214105
"7404 37TH AVE, New York, NY, 11372",Address,High,40.74889373779297,-73.89155578613281,secondary,highway,40.7484818,-73.8962264
