address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"1007 MORRIS PARK AVE, New York, NY, 10462",Address,High,40.848445,-73.856079,house,place,40.84853745,-73.8561234195114
"469 FLATBUSH AVENUE, New York, NY, 11225",Address,High,40.6629524230957,-73.96175384521484,house,place,40.66293035,-73.9617256983564
"351 WEST   57 STREET, New York, NY, 10019",Address,High,40.7678337097168,-73.98480224609375,,,,
"2780 STILLWELL AVENUE, New York, NY, 11224",Address,High,40.57952117919922,-73.98242950439453,house,place,40.57952565,-73.9824264038087
"8825 ASTORIA BOULEVARD, New York, NY, 11369",Address,High,40.764007568359375,-73.87921905517578,primary,highway,40.762735,-73.8742091
"2206 VICTORY BOULEVARD, New York, NY, 10314",Address,High,40.612083077430725,-74.13690023124218,house,place,40.6120162962963,-74.1370022222222
"7114 AVENUE U, New York, NY, 11234",Address,High,40.61989974975586,-73.90685272216797,house,place,40.619892,-73.9068501510335
"6409 11 AVENUE, New York, NY, 11219",Address,High,40.628883361816406,-74.00527954101562,,,,
"1839 NOSTRAND AVENUE, New York, NY, 11226",Address,High,40.64081954956055,-73.94815063476562,house,place,40.6408257,-73.948346
"2300 SOUTHERN BOULEVARD, New York, NY, 10460",Address,High,40.85004425048828,-73.87828826904297,house,place,40.85066,-73.882546
"1269 SUTTER AVENUE, New York, NY, 11208",Address,High,40.672938376665115,-73.87114226818085,house,place,40.6730223,-73.8711711
"1 EAST   66 STREET, New York, NY, 10065",Address,High,40.76868438720703,-73.9693374633789,,,,
"1310 SURF AVENUE, New York, NY, 11224",Address,High,40.575509145855904,-73.98153729736805,restaurant,amenity,40.57529315,-73.9814701031484
"705 KINGS HIGHWAY, New York, NY, 11223",Address,High,40.60647201538086,-73.96541595458984,house,place,40.60649405,-73.9654257051312
"203 CHURCH AVENUE, New York, NY, 11218",Address,High,40.643379762768745,-73.97819861769676,house,place,40.6434050612245,-73.9782249591837
"26515 HILLSIDE AVENUE, New York, NY, 11004",Address,High,40.73870849609375,-73.70323944091797,primary,highway,40.73417,-73.7230474
"522 EAST   74 STREET, New York, NY, 10021",Address,High,40.7674674987793,-73.95171356201172,,,,
"284 PROSPECT PARK WEST, New York, NY, 11215",Address,High,40.65803527832031,-73.98287963867188,house,place,40.65803965,-73.9828794274168
"12908 20 AVENUE, New York, NY, 11356",Address,High,40.78147888183594,-73.83930969238281,,,,
"759 BROADWAY, New York, NY, 10003",Address,High,40.730785578489304,-73.9922996610403,house,place,40.7308003333333,-73.9923583333333
"3406 10 STREET, New York, NY, 11106",RoadBlock,Medium,40.76647186279297,-73.93763732910156,,,,
"502 AMSTERDAM AVENUE, New York, NY, 10024",Address,High,40.786712646484375,-73.97612762451172,restaurant,amenity,40.7867051,-73.9760763442878
"730 COLUMBUS AVENUE, New York, NY, 10025",Address,High,40.79256623983383,-73.9678043872118,house,place,40.7925729,-73.9680366
"18 WEST HOUSTON STREET, New York, NY, 10012",Address,High,40.725891,-73.996986,house,place,40.7257247,-73.9970561
"10305 37 AVENUE, New York, NY, 11368",Address,High,40.7535514831543,-73.86425018310547,,,,
"60 WALL STREET, New York, NY, 10005",Address,High,40.706241607666016,-74.00850677490234,house,place,40.70617305,-74.0085160961879
"195 EAST   56 STREET, New York, NY, 11203",Address,High,40.65211974084377,-73.92454840242863,,,,
"1006 EAST  233 STREET, New York, NY, 10466",Address,High,40.89033126831055,-73.84859466552734,,,,
"56 COURT STREET, New York, NY, 11201",Address,High,40.692241,-73.991424,house,place,40.69224025,-73.991411
"120 PRINCE STREET, New York, NY, 10012",Address,High,40.725166,-73.9999,house,place,40.72513795,-73.9998537996522
"1236 238 SPOFFORD AVE, New York, NY, 10474",PopulatedPlace,Medium,40.861900329589844,-73.82689666748047,,,,
"625 8 AVENUE, New York, NY, 10018",Address,High,40.75619548559189,-73.99060919880867,,,,
"1069 WYCKOFF AVENUE, New York, NY, 11385",Address,High,40.69492721557617,-73.90245056152344,house,place,40.6948347,-73.9025375
"405 LEXINGTON AVENUE, New York, NY, 10174",Address,High,40.751818120479584,-73.97570818662643,house,place,40.7519148,-73.97553
"2491 VICTORY BOULEVARD, New York, NY, 10314",Address,High,40.61048889160156,-74.14645385742188,house,place,40.610455,-74.145886
"7905 METROPOLITAN AVENUE, New York, NY, 11379",RoadBlock,Medium,40.71329879760742,-73.87020874023438,secondary,highway,40.712727,-73.8793429
"8769 LEFFERTS BOULEVARD, New York, NY, 11418",RoadBlock,Medium,40.70029830932617,-73.83103942871094,tertiary,highway,40.6937,-73.8278299
"1418 THIRD AVENUE, New York, NY, 10028",Address,High,40.77528543770313,-73.95663768053055,,,,
"464 3 AVENUE, New York, NY, 10016",Address,High,40.74426434934139,-73.9792601019144,,,,
"437 MADISON AVENUE, New York, NY, 10022",Address,High,40.75737380981445,-73.97538757324219,house,place,40.7573564,-73.9753770320287
"1031 EAST   92 STREET, New York, NY, 11236",Address,High,40.64385986328125,-73.90760040283203,,,,
"1111 HYLAN BOULEVARD, New York, NY, 10305",Address,High,40.598819732666016,-74.07966613769531,house,place,40.5987763,-74.0796766244172
"976 RUTLAND ROAD, New York, NY, 11212",Address,High,40.6619758605957,-73.9269790649414,house,place,40.6620102,-73.9270310119616
"148 WEST   72 STREET, New York, NY, 10023",Address,High,40.777954906225204,-73.98020826280117,,,,
"0 34 STREET, New York, NY, 10001",RoadBlock,High,40.75688171386719,-74.00457000732422,,,,
"364 WEST  110 STREET, New York, NY, 10025",Address,High,40.80150939524174,-73.9605724811554,,,,
"1423 AVENUE J, New York, NY, 11230",Address,High,40.625411,-73.96157,house,place,40.6252876,-73.9615588
"0 GUARDIA AIRPORT PARKING, New York, NY, 11371",Postcode1,Medium,40.7744140625,-73.87322235107422,,,,
"73 NEW DORP PLAZA, New York, NY, 10306",Address,High,40.57345725595951,-74.11774054169655,house,place,40.5734594,-74.1178655
"277 EAST KINGSBRIDGE ROAD, New York, NY, 10458",Address,High,40.86351938545704,-73.89420457184315,house,place,40.863511,-73.8940382
"203 GIFFORDS LANE, New York, NY, 10308",Address,High,40.55643081665039,-74.15235900878906,house,place,40.5564115,-74.1525006
"94 FULTON STREET, New York, NY, 10038",Address,High,40.709205627441406,-74.00618743896484,house,place,40.7092092,-74.0061839673184
"10004 4 AVENUE, New York, NY, 11209",Address,High,40.61272211372852,-74.03381422162056,,,,
"178 BROADWAY, New York, NY, 11211",Address,High,40.709777,-73.962585,restaurant,amenity,40.7098661,-73.9625564
"1 EAST   60 STREET, New York, NY, 10022",Address,High,40.764854326844215,-73.97237218916416,,,,
"837 2 AVENUE, New York, NY, 10017",Address,High,40.75170135498047,-73.97119140625,,,,
"21 WEST   52 STREET, New York, NY, 10019",Address,High,40.76038107275963,-73.97757098078728,,,,
"658 CLARENCE AVE, New York, NY, 10465",Address,High,40.82939529418945,-73.81359100341797,house,place,40.8291639,-73.814330092878
"1028 3 AVENUE, New York, NY, 10065",Address,High,40.7628288269043,-73.96601867675781,,,,
"45 EAST   18 STREET, New York, NY, 10003",Address,High,40.73759460449219,-73.98916625976562,,,,
"261 DRIGGS AVENUE, New York, NY, 11222",Address,High,40.722408294677734,-73.94840240478516,house,place,40.7225402,-73.948318
"62 CHARLES STREET, New York, NY, 10014",Address,High,40.734872594475746,-74.00297082960606,restaurant,amenity,40.7348424,-74.0030609
"100 CENTRE STREET, New York, NY, 10013",Address,High,40.716094970703125,-74.00077819824219,house,place,40.7160736,-74.0011699
"657 FAIRVIEW AVENUE, New York, NY, 11385",Address,High,40.70689010620117,-73.90547943115234,house,place,40.7067229,-73.9056608
"180 CENTRAL PARK SOUTH, New York, NY, 10019",Address,High,40.76653942465782,-73.97839576005936,house,place,40.76636125,-73.9790105390132
"108 AVENUE B, New York, NY, 10009",Address,High,40.725051,-73.981475,bar,amenity,40.7250437,-73.981466
"9640 QUEENS BOULEVARD, New York, NY, 11374",RoadBlock,Medium,40.72753143310547,-73.85546875,trunk,highway,40.7266949,-73.8524594
"215 WEST   57 STREET, New York, NY, 10019",Address,High,40.76594464480877,-73.9809163659811,,,,
"845 LEXINGTON AVENUE, New York, NY, 10065",Address,High,40.76542663574219,-73.96553039550781,secondary,highway,40.792248,-73.9462784
"311 WEST   51 STREET, New York, NY, 10019",Address,High,40.763404846191406,-73.98621368408203,,,,
"386 FLATBUSH AVENUE EXTENSION, New York, NY, 11201",Address,High,40.6900991499424,-73.98167476058006,cafe,amenity,40.6902136,-73.9818937
"251 EAST   31 STREET, New York, NY, 10016",Address,High,40.74365749955177,-73.97899858653545,,,,
"2602 EAST   15 STREET, New York, NY, 11235",Address,High,40.587803050875664,-73.95438864827156,,,,
".1-A EAST 77 ST, New York, NY, 10021",Postcode1,Medium,40.769309997558594,-73.95890045166016,,,,
"56 9 AVENUE, New York, NY, 10011",Address,High,40.741207122802734,-74.00476837158203,,,,
"156-71 CROSSBAY BOULEVARD, New York, NY, 11414",Address,High,40.66309064626694,-73.84068310260773,,,,
"600 WEST DRIVE, New York, NY, 11363",Address,High,40.77665328979492,-73.75224304199219,residential,highway,40.776592,-73.7528949
"225 EAST   60 STREET, New York, NY, 10022",Address,High,40.76189,-73.964866,,,,
"461 37 STREET, New York, NY, 11232",Address,High,40.652793884277344,-74.00296020507812,,,,
