address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"178 KENT AVENUE, New York, NY, 11249",Address,High,40.71876525878906,-73.96344378590584,restaurant,amenity,40.7188464,-73.9635537
"3533 36 STREET, New York, NY, 11106",RoadBlock,Medium,40.75625991821289,-73.92449951171875,,,,
"13844 86 AVENUE, New York, NY, 11435",RoadBlock,Medium,40.7087287902832,-73.8076171875,,,,
"349 BROADWAY, New York, NY, 11211",Address,High,40.707923,-73.955741,house,place,40.707882,-73.95576875
"33 HAVEMEYER STREET, New York, NY, 11211",Address,High,40.715553283691406,-73.9533920288086,house,place,40.71557665,-73.9534279201775
"872 HANCOCK STREET, New York, NY, 11233",Address,High,40.685707092285156,-73.92072296142578,house,place,40.6857958,-73.9207386
"41 EAST 20 STREET, New York, NY, 10003",Address,High,40.738876,-73.98851,,,,
"857 BROADWAY, New York, NY, 10003",Address,High,40.737339,-73.990554,cafe,amenity,40.7372903,-73.990456
"982 2 AVENUE, New York, NY, 10022",Address,High,40.755901,-73.967361,,,,
"245-01 FRANCIS LEWIS BOULEVARD, New York, NY, 11422",Address,High,40.66485218703747,-73.73489879071712,house,place,40.66491325,-73.7347432557484
"568 5 AVENUE, New York, NY, 11215",Address,High,40.66518,-73.989997,,,,
"1150 LEXINGTON AVENUE, New York, NY, 10075",Address,High,40.77527806162834,-73.95873449742794,house,place,40.7752944,-73.9587754
"22142 HORACE HARDING EXPRESSWAY, New York, NY, 11364",RoadBlock,Medium,40.75115966796875,-73.74971771240234,trunk,highway,40.7437153,-73.8359278
"116 10 AVENUE, New York, NY, 10011",Address,High,40.74407958984375,-74.00639343261719,,,,
"383 7 AVENUE, New York, NY, 11215",Address,High,40.665199279785156,-73.98261260986328,,,,
"262 ARDEN AVENUE, New York, NY, 10312",Address,High,40.55224299430847,-74.19094741344452,house,place,40.552847,-74.191613
"171 WEST   23 STREET, New York, NY, 10011",Address,High,40.743767470121384,-73.99474181234837,,,,
"341 GRAHAM AVENUE, New York, NY, 11211",Address,High,40.71469768881798,-73.94447050988674,house,place,40.7146951111111,-73.944523
"5 EAST  208 STREET, New York, NY, 10467",Address,High,40.88067948818207,-73.8832276314497,,,,
"1053 ST NICHOLAS AVENUE, New York, NY, 10032",Address,High,40.83660811185837,-73.94012600183487,house,place,40.8367248,-73.9403036
"691 BRIDGE STREET, New York, NY, 10464",Address,High,40.857017517089844,-73.79157257080078,house,place,40.8568504,-73.7914528109275
"3722 73 STREET, New York, NY, 11372",Address,High,40.74820327758789,-73.89297485351562,,,,
"306 EAST    6 STREET, New York, NY, 10003",Address,High,40.72698974609375,-73.98812866210938,,,,
"9213 ROOSEVELT AVENUE, New York, NY, 11372",Address,High,40.74891662597656,-73.87410736083984,secondary,highway,40.746686,-73.8929591
"578580 9 AVENUE, New York, NY, 10036",RoadBlock,Medium,40.760990142822266,-73.99076080322266,,,,
"2604 JACKSON AVENUE, New York, NY, 11101",Address,High,40.746978759765625,-73.94198608398438,primary,highway,40.748016,-73.9397385
"2369 WESTCHESTER AVENUE, New York, NY, 10462",Address,High,40.83660006523132,-73.84698763489723,house,place,40.8367953,-73.8469475
"2155 HYLAN BOULEVARD, New York, NY, 10306",Address,High,40.5779914855957,-74.10270690917969,house,place,40.577906,-74.1026442200152
"980 FULTON STREET, New York, NY, 11238",Address,High,40.68219757080078,-73.96175384521484,restaurant,amenity,40.6822838,-73.9617447
"312 WEST   34 STREET, New York, NY, 10001",Address,High,40.752455815672874,-73.99421274662018,,,,
"243 BEDELL AVENUE, New York, NY, 10307",Address,High,40.50775654613972,-74.23333033919334,house,place,40.5077942,-74.2330468013356
"721 WESTCHESTER AVENUE, New York, NY, 10455",Address,High,40.8173156529665,-73.90653535723686,house,place,40.8175428,-73.9063298
"1643 LEXINGTON AVENUE, New York, NY, 10029",Address,High,40.79066848754883,-73.94708251953125,house,place,40.79065885,-73.9470716039176
"3738 RIVERDALE AVENUE, New York, NY, 10463",Address,High,40.88748089969158,-73.90715561807156,house,place,40.8873605925926,-73.9071353703704
"302 COLUMBUS AVENUE, New York, NY, 10023",Address,High,40.77902603149414,-73.97801971435547,house,place,40.77902555,-73.9780263465625
"30 ROCKERFELLER PLAZA, New York, NY, 10112",Address,High,40.75874090194702,-73.97882893681526,,,,
"7919 NORTHERN BOULEVARD, New York, NY, 11372",RoadBlock,Medium,40.7552490234375,-73.8881607055664,primary,highway,40.7543289,-73.897043
"600 3 AVENUE, New York, NY, 10016",Address,High,40.74900180101395,-73.97580206394196,,,,
"10706 71 ROAD, New York, NY, 11375",RoadBlock,Medium,40.71031951904297,-73.84996795654297,,,,
"1001 BOARDWALK, New York, NY, 11224",Address,High,40.57329162955284,-73.97896975278854,house,place,40.573409,-73.978299
"591 FORT WASHINGTON AVENUE, New York, NY, 10033",Address,High,40.8547680079937,-73.93705487251282,house,place,40.8547927142857,-73.937101
"3614 30 AVENUE, New York, NY, 11103",Address,High,40.764583587646484,-73.91706848144531,,,,
"389 EAST  167 STREET, New York, NY, 10456",Address,High,40.830921828746796,-73.91089864075184,,,,
"120 CHRISTOPHER STREET, New York, NY, 10014",Address,High,40.732994079589844,-74.0055923461914,house,place,40.733027,-74.0055511236386
"165 CHURCH STREET, New York, NY, 10007",Address,High,40.715132877230644,-74.00770425796509,house,place,40.7151118,-74.0075846
" CENTRAL PARK WEST, New York, NY, 10019",RoadBlock,High,40.798038482666016,-73.96002960205078,secondary,highway,40.7692746,-73.9810291
"457 GRAHAM AVENUE, New York, NY, 11222",Address,High,40.71902084350586,-73.94550323486328,restaurant,amenity,40.7190977,-73.9454084
"2115 FLATBUSH AVENUE, New York, NY, 11234",Address,High,40.61845016479492,-73.93193054199219,primary,highway,40.638422,-73.9535999
"569 MYRTLE AVENUE, New York, NY, 11205",Address,High,40.693994387984276,-73.96146297454834,house,place,40.69404325,-73.9614715
"202-20 ROCKAWAY POINT BOULEVARD, New York, NY, 11697",Address,High,40.56080996990204,-73.9114585518837,tertiary,highway,40.564021,-73.8955409
"687 6 AVENUE, New York, NY, 11215",Address,High,40.660591,-73.99031,,,,
"347 EAST   14 STREET, New York, NY, 10003",Address,High,40.731807708740234,-73.98291015625,,,,
"1376 NOSTRAND AVENUE, New York, NY, 11226",Address,High,40.653133392333984,-73.9500732421875,house,place,40.6531351,-73.95005585
"244 PORT RICHMOND AVENUE, New York, NY, 10302",Address,High,40.635353088378906,-74.135498046875,house,place,40.6353085,-74.1354697080787
"6804 BAY PARKWAY, New York, NY, 11204",Address,High,40.61216354370117,-73.98362731933594,house,place,40.61213185,-73.9835610636029
"1207 CASTLE HILL AVENUE, New York, NY, 10462",Address,High,40.83214357495308,-73.85115444660187,house,place,40.8320847,-73.8512771
"4235 KATONAH AVENUE, New York, NY, 10470",Address,High,40.89676284790039,-73.86735534667969,house,place,40.89677875,-73.8673450163702
"3702 MAIN STREET, New York, NY, 11354",Address,High,40.761234,-73.831512,primary,highway,40.725992,-73.8214319
"597 WEST 207 STREET, New York, NY, 10034",Address,High,40.867071971297264,-73.92074771225452,,,,
"3304 DITMARS BOULEVARD, New York, NY, 11105",Address,High,40.77507019042969,-73.90966033935547,restaurant,amenity,40.7751382,-73.9095822
"476 9 AVENUE, New York, NY, 10018",Address,High,40.7548828125,-73.99481964111328,,,,
"308 EAST  188 STREET, New York, NY, 10458",Address,High,40.860627964138985,-73.89510981738567,,,,
"367 WEST   36 STREET, New York, NY, 10018",Address,High,40.754303857684135,-73.99435222148895,,,,
"782 WASHINGTON AVENUE, New York, NY, 11238",Address,High,40.67449188232422,-73.96343994140625,house,place,40.6744717,-73.9632785
"129 ELMWOOD AVENUE, New York, NY, 11230",Address,High,40.62711015343666,-73.97573567926884,house,place,40.62712336,-73.97613768
"220 EAST   14 STREET, New York, NY, 10003",Address,High,40.732666015625,-73.98644256591797,,,,
"540 PAGE AVENUE, New York, NY, 10307",Address,High,40.51087059080601,-74.23122078180313,house,place,40.510635125,-74.231194875
"25455 HORACE HARDING EXPRESSWAY, New York, NY, 11362",RoadBlock,Medium,40.75754165649414,-73.73892211914062,secondary,highway,40.760878,-73.7321349
"76 AVENUE B, New York, NY, 10009",Address,High,40.724082,-73.982254,house,place,40.7240225,-73.9821091
"14122 ROCKAWAY BOULEVARD, New York, NY, 11436",Address,High,40.67388153076172,-73.79905700683594,primary,highway,40.674225,-73.7998479
"11 WEST 17 STREET, New York, NY, 10011",Address,High,40.73843765258789,-73.99292755126953,,,,
"47 EAST KINGSBRIDGE ROAD, New York, NY, 10468",Address,High,40.86698077619076,-73.89611229300499,house,place,40.8670278888889,-73.8960948518519
"24-11 STEINWAY STREET, New York, NY, 11103",Address,High,40.7686523348093,-73.91101934015751,secondary,highway,40.7612614,-73.9171494
"2238 7 AVENUE, New York, NY, 10027",Address,High,40.81325747072697,-73.94538514316082,,,,
"108 WEST   24 STREET, New York, NY, 10011",Address,High,40.743648529052734,-73.99308776855469,,,,
"259 FRONT STREET, New York, NY, 10038",Address,High,40.7081413269043,-74.00047302246094,restaurant,amenity,40.7082323,-74.0005339
"6107 UTOPIA PARKWAY, New York, NY, 11365",Address,High,40.738582611083984,-73.79259490966797,secondary,highway,40.746162,-73.7924586
"435 PARK AVENUE SOUTH, New York, NY, 10016",Address,High,40.74422,-73.9831,house,place,40.7442205,-73.9831121167207
"9725 64 ROAD, New York, NY, 11374",Address,High,40.73014450073242,-73.85979461669922,,,,
"19625 JAMAICA AVENUE, New York, NY, 11423",Address,High,40.71365737915039,-73.76290130615234,primary,highway,40.71619,-73.7447549
"9206 173 STREET, New York, NY, 11433",RoadBlock,Medium,40.70793151855469,-73.78672790527344,,,,
"599 6 AVENUE, New York, NY, 10011",Address,High,40.739585876464844,-73.99556732177734,,,,
"103 LEXINGTON AVENUE, New York, NY, 10016",Address,High,40.74213409423828,-73.98248291015625,secondary,highway,40.7756382,-73.9584017
"1711 2 AVENUE, New York, NY, 10128",Address,High,40.77969741821289,-73.95076751708984,,,,
"2909 23 AVENUE, New York, NY, 11105",Address,High,40.7752571105957,-73.91334533691406,,,,
"2801 KNAPP STREET, New York, NY, 11235",Address,High,40.58620834350586,-73.93103790283203,house,place,40.5862059,-73.9309474
"37-65 103 STREET, New York, NY, 11368",Address,High,40.75168937444687,-73.86356234550476,,,,
"66 6 AVENUE, New York, NY, 11217",Address,High,40.68091996014118,-73.97452734410763,,,,
"4107 NATIONAL STREET, New York, NY, 11368",RoadBlock,Medium,40.747650146484375,-73.86345672607422,residential,highway,40.7460811,-73.8641002
"1201 RANDALL AVENUE, New York, NY, 10474",Address,High,40.811729,-73.890235,house,place,40.811716,-73.8901839
"1617 JEROME AVENUE, New York, NY, 11235",Address,High,40.58747045695782,-73.9516320079565,house,place,40.5872569,-73.9527382
"NKA PENN PLAZA, New York, NY, 10001",Postcode1,Medium,40.750244140625,-73.99702453613281,,,,
"2841 HARWAY AVENUE, New York, NY, 11214",Address,High,40.588218688964844,-73.98452758789062,house,place,40.58822695,-73.9845106147696
"636 11 AVENUE, New York, NY, 10036",Address,High,40.76339340209961,-73.99555969238281,,,,
"26 BOND STREET, New York, NY, 10012",Address,High,40.726627349853516,-73.99356079101562,house,place,40.7265865,-73.993598479614
"10420 METROPOLITAN AVENUE, New York, NY, 11375",Address,High,40.709835052490234,-73.84834289550781,secondary,highway,40.7132801,-73.8696345
"980 LONGWOOD AVENUE, New York, NY, 10459",Address,High,40.81710107624531,-73.89764584600925,house,place,40.8169761,-73.8976477
"6917 18 AVENUE, New York, NY, 11204",Address,High,40.61628723144531,-73.99266052246094,,,,
"3628 BROADWAY, New York, NY, 10031",Address,High,40.829207226634026,-73.94824236631393,house,place,40.8292248888889,-73.9482874444444
